UF,Objetivo Estratégico,Descrição Indicador,Meta de 2025,Resultado de 2025,Unnamed: 5,Ano,Mes
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","0,00",,2025,Janeiro
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","0,00",,2025,Janeiro
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","5,18",,2025,Janeiro
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,00",,2025,Janeiro
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Janeiro
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","0,00",,2025,Janeiro
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","0,00",,2025,Janeiro
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","88,46",,2025,Janeiro
AC,-,Recorrência do Atendimento,"66,83","34,21",,2025,Janeiro
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","0,00",,2025,Fevereiro
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","0,00",,2025,Fevereiro
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","7,60",,2025,Fevereiro
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,07",,2025,Fevereiro
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Fevereiro
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","0,00",,2025,Fevereiro
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","0,00",,2025,Fevereiro
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","88,17",,2025,Fevereiro
AC,-,Recorrência do Atendimento,"66,83","39,86",,2025,Fevereiro
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","5,56",,2025,Março
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","90,71",,2025,Março
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","10,27",,2025,Março
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,10",,2025,Março
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Março
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","0,00",,2025,Março
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","0,00",,2025,Março
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","90,81",,2025,Março
AC,-,Recorrência do Atendimento,"66,83","43,57",,2025,Março
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","8,00",,2025,Abril
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","90,71",,2025,Abril
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","12,15",,2025,Abril
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,10",,2025,Abril
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Abril
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","0,00",,2025,Abril
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","0,00",,2025,Abril
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","89,47",,2025,Abril
AC,-,Recorrência do Atendimento,"66,83","47,31",,2025,Abril
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","22,58",,2025,Maio
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","90,71",,2025,Maio
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","18,82",,2025,Maio
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,14",,2025,Maio
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Maio
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","0,00",,2025,Maio
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","0,00",,2025,Maio
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","89,57",,2025,Maio
AC,-,Recorrência do Atendimento,"66,83","48,86",,2025,Maio
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","36,84",,2025,Junho
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","86,72",,2025,Junho
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","23,95",,2025,Junho
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,33",,2025,Junho
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Junho
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","77,27",,2025,Junho
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","-33,38",,2025,Junho
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","88,67",,2025,Junho
AC,-,Recorrência do Atendimento,"66,83","61,51",,2025,Junho
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","35,56",,2025,Julho
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","86,72",,2025,Julho
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","27,60",,2025,Julho
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,43",,2025,Julho
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Julho
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","77,27",,2025,Julho
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","-33,38",,2025,Julho
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","89,43",,2025,Julho
AC,-,Recorrência do Atendimento,"66,83","63,05",,2025,Julho
