UF,Programa Nacional,Previsto Original em 2025,Previsto Ajustado em 2025,Despesa Executado em 2025,Total de Atendimentos em 2025,Unnamed: 6,Ano,Mes
AC,Cidades e Territórios Empreendedores,"R$3.044.585,00","R$3.044.585,00","R$206.382,50",0.0,,2025,Janeiro
AC,Cliente 360,"R$6.945.449,00","R$6.945.449,00","R$106.069,40",1.937,,2025,Janeiro
AC,Conecta Tech,"R$2.592.141,00","R$2.592.141,00","R$162.000,00",0.0,,2025,Janeiro
AC,Conexão Financeira,"R$432.646,00","R$432.646,00","R$0,00",0.0,,2025,Janeiro
AC,Educação que Transforma,"R$600.000,00","R$600.000,00","R$15.591,25",0.0,,2025,Janeiro
AC,Impulsionar Negócios,"R$7.136.070,00","R$7.136.070,00","R$178.237,40",1.106,,2025,Janeiro
AC,Impulso Tecnológico,"R$2.491.140,00","R$2.491.140,00","R$60,00",0.0,,2025,Janeiro
AC,Move + Vendas,"R$1.419.315,00","R$1.419.315,00","R$30.200,00",0.0,,2025,Janeiro
AC,Plural,"R$138.700,00","R$138.700,00","R$0,00",27.0,,2025,Janeiro
AC,Cidades e Territórios Empreendedores,"R$3.044.585,00","R$3.044.585,00","R$242.044,60",0.0,,2025,Fevereiro
AC,Cliente 360,"R$6.945.449,00","R$6.945.449,00","R$265.467,45",4.589,,2025,Fevereiro
AC,Conecta Tech,"R$2.592.141,00","R$2.592.141,00","R$256.652,54",0.0,,2025,Fevereiro
AC,Conexão Financeira,"R$432.646,00","R$432.646,00","R$11.148,01",0.0,,2025,Fevereiro
AC,DataBiz,"R$640.000,00","R$640.000,00","R$0,00",0.0,,2025,Fevereiro
AC,Educação que Transforma,"R$600.000,00","R$600.000,00","R$31.695,35",0.0,,2025,Fevereiro
AC,Impulsionar Negócios,"R$7.136.070,00","R$7.136.070,00","R$522.914,91",2.595,,2025,Fevereiro
AC,Impulso Tecnológico,"R$2.491.140,00","R$2.491.140,00","R$5.307,52",0.0,,2025,Fevereiro
AC,Move + Vendas,"R$1.419.315,00","R$1.419.315,00","R$53.022,50",0.0,,2025,Fevereiro
AC,Plural,"R$138.700,00","R$138.700,00","R$450,00",38.0,,2025,Fevereiro
