Nome Sebrae,Descrição Tipo Iniciativa,Descrição Tipologia Iniciativa,Número Iniciativa,Nome Iniciativa,Nome Unidade Organizacional,Total de Despesa Orçado - Ajustado em 2025,Total do Valor de Despesa Executado em 2025,Total de Atendimentos em 2025,Clientes Atendidos em 2025,Unnamed: 10,Ano,Mes
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC012974PJAS,AC - ALI Produtividade - Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"205.000,00","11.527,50",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC013010PJAS,AC - ALI Produtividade Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"400.000,00","20.144,90",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC013599PJAS,AC - ALI Rural Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"96.643,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC016816PJAS,AC - ALI Rural do Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"49.000,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Articulação Institucional,AC025689PJAI,AC - CIDADE EMPREENDEDORA,AC - Desenvolvimento do Ambiente de Negócios,"1.079.600,00","190.720,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Gestão Operacional,AC013675PJGO,AC - ConectaTech,AC - Tecnologia da Informação,"2.592.141,00","162.000,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025441PJAS,AC - Conexão Financeira - Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"149.600,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025440PJAS,AC - Conexão Financeira Alto Acre,AC - Escritório Regional Alto Acre,"131.800,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025443PJAS,AC - Conexão Financeira Baixo Acre e Purus,AC - Escritório Regional do Baixo Acre e PURUS,"151.246,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025205PJAS,AC - Conexões corporativas EP rede de supermercados,AC - Diretoria Técnica (Unidade),"111.940,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025508PJAS,AC - Geração de Negócios Inovadores,AC - Escritório Regional do Baixo Acre e PURUS,"573.200,00","60,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Atividade,Gestão Operacional,AC022353ATGO,AC - Gestão da Proteção de Dados Pessoais para Adequação à LGPD,AC - Tecnologia da Informação,"132.000,00","15.200,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Articulação Institucional,AC024860PJAI,AC - Governança Empreendedora,AC - Desenvolvimento do Ambiente de Negócios,"336.906,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC024754ATAS,AC - Implantação da Rede Estendida Sebrae,AC - Diretoria Técnica (Unidade),"67.000,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Gestão Operacional,AC023908PJGO,AC - Impulsionador da Inteligência de Dados (IT Score CDAO),AC - Excelência da Gestão,"640.000,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025856PJAS,AC - Indicações Geograficas,AC - Escritório Regional do Juruá e Taraucá-Envira,"174.940,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012967ATAS,AC - Processo Estratégico Atendimento e Relacionamento,AC - Atendimento e Relacionamento,"475.449,00","18.936,90",44.0,38.0,,2025,Janeiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC025492ATAS,AC - PROCESSO ESTRATÉGICO ATENDIMENTO ESPONTÂNEO AGRONEGÓCIO DO BAIXO E ALTO ACRE/PURUS,AC - Escritório Regional do Baixo Acre e PURUS,"530.232,00","2.100,00",76.0,59.0,,2025,Janeiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012964ATAS,AC - Processo Estratégico Atendimento Espontâneo do Alto Acre,AC - Escritório Regional Alto Acre,"500.000,00","6.585,00",239.0,214.0,,2025,Janeiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012966ATAS,AC - Processo Estratégico Atendimento Espontâneo do Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"3.700.000,00","73.085,00",1.09,986.0,,2025,Janeiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012971ATAS,AC - Processo Estratégico Atendimento Espontâneo do Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"900.000,00","5.362,50",488.0,415.0,,2025,Janeiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC024755ATAS,AC - Processo Estratégico Espontâneo da Indústria do Baixo e Alto Acre/Purus,AC - Escritório Regional do Baixo Acre e PURUS,"569.768,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Atividade,Gestão Operacional,AC022562ATGO,AC - Processo Nacional de Gestão da Marca,AC - Assessoria de Comunicação,"350.000,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Atividade,Gestão Operacional,AC022735ATGO,AC - Processo Nacional de Integridade - Compliance,"AC - Assessoria de Controle, Processos e Compliance","307.528,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC023953ATAS,AC - Processo Plural Alto Acre,AC - Escritório Regional Alto Acre,"62.415,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC013357PJAS,AC - Projeto Agronegócios Baixo e Alto Acre/Purus,AC - Escritório Regional do Baixo Acre e PURUS,"2.510.762,00","81.955,00",537.0,239.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025106PJAS,AC - Projeto Autogestão centros automotivos,AC - Escritório Regional do Baixo Acre e PURUS,"349.000,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC024008PJAS,AC - Projeto Conecta,AC - Escritório Regional do Baixo Acre e PURUS,"1.743.000,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025080PJAS,AC - Projeto de Atendimento - Panificação,AC - Escritório Regional do Baixo Acre e PURUS,"394.100,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC012983PJAS,AC - Projeto Estratégico Agronegócio do Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"1.463.700,00","60.060,00",201.0,165.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025656PJAS,AC - Projeto Estratégico Artesanato Acreano,AC - Escritório Regional do Baixo Acre e PURUS,"207.000,00","4.550,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC024859PJAS,AC - Projeto Estratégico Internacionalização,AC - Escritório Regional do Baixo Acre e PURUS,"514.947,00","30.200,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC012973PJAS,AC - Projeto Estratégico Relacionamento - 500,AC - Diretoria Técnica (Unidade),"203.000,00","0,00",0.0,0.0,,2025,Janeiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC012974PJAS,AC - ALI Produtividade - Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"205.000,00","26.862,00",21.0,18.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC013010PJAS,AC - ALI Produtividade Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"400.000,00","45.022,90",28.0,27.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC013599PJAS,AC - ALI Rural Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"96.643,00","352,50",4.0,4.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC016816PJAS,AC - ALI Rural do Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"49.000,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Articulação Institucional,AC025689PJAI,AC - CIDADE EMPREENDEDORA,AC - Desenvolvimento do Ambiente de Negócios,"1.079.600,00","190.486,89",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Gestão Operacional,AC013675PJGO,AC - ConectaTech,AC - Tecnologia da Informação,"2.592.141,00","256.652,54",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025441PJAS,AC - Conexão Financeira - Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"149.600,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025440PJAS,AC - Conexão Financeira Alto Acre,AC - Escritório Regional Alto Acre,"131.800,00","183,07",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025443PJAS,AC - Conexão Financeira Baixo Acre e Purus,AC - Escritório Regional do Baixo Acre e PURUS,"151.246,00","10.964,94",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025205PJAS,AC - Conexões corporativas EP rede de supermercados,AC - Diretoria Técnica (Unidade),"111.940,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025508PJAS,AC - Geração de Negócios Inovadores,AC - Escritório Regional do Baixo Acre e PURUS,"573.200,00","5.307,52",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Atividade,Gestão Operacional,AC022353ATGO,AC - Gestão da Proteção de Dados Pessoais para Adequação à LGPD,AC - Tecnologia da Informação,"132.000,00","15.200,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Articulação Institucional,AC024860PJAI,AC - Governança Empreendedora,AC - Desenvolvimento do Ambiente de Negócios,"336.906,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC024754ATAS,AC - Implantação da Rede Estendida Sebrae,AC - Diretoria Técnica (Unidade),"67.000,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Gestão Operacional,AC023908PJGO,AC - Impulsionador da Inteligência de Dados (IT Score CDAO),AC - Excelência da Gestão,"640.000,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025856PJAS,AC - Indicações Geograficas,AC - Escritório Regional do Juruá e Taraucá-Envira,"174.940,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012967ATAS,AC - Processo Estratégico Atendimento e Relacionamento,AC - Atendimento e Relacionamento,"475.449,00","36.419,57",72.0,63.0,,2025,Fevereiro
